final_name,batch
FUSCCTNBC341.TT,batch_14
FUSCCTNBC341.TT,batch_14
FUSCCTNBC344.TT,batch_20
FUSCCTNBC344.TT,batch_20
FUSCCTNBC346.TT,batch_20
FUSCCTNBC346.TT,batch_20
FUSCCTNBC349.TT,batch_14
FUSCCTNBC349.TT,batch_14
FUSCCTNBC350.TT,batch_14
FUSCCTNBC350.TT,batch_14
FUSCCTNBC351.TT,batch_14
FUSCCTNBC351.TT,batch_14
FUSCCTNBC356.TT,batch_21
FUSCCTNBC356.TT,batch_21
FUSCCTNBC359.TT,batch_14
FUSCCTNBC359.TT,batch_14
FUSCCTNBC368.TT,batch_21
FUSCCTNBC368.TT,batch_21
FUSCCTNBC370.TT,batch_14
FUSCCTNBC370.TT,batch_14
FUSCCTNBC374.TT,batch_14
FUSCCTNBC374.TT,batch_14
FUSCCTNBC376.TT,batch_9
FUSCCTNBC376.TT,batch_9
FUSCCTNBC380.TT,batch_29
FUSCCTNBC380.TT,batch_29
FUSCCTNBC383.TT,batch_9
FUSCCTNBC383.TT,batch_9
FUSCCTNBC385.TT,batch_9
FUSCCTNBC385.TT,batch_9
FUSCCTNBC386.TT,batch_29
FUSCCTNBC386.TT,batch_29
FUSCCTNBC387.TT,batch_9
FUSCCTNBC387.TT,batch_9
FUSCCTNBC389.TT,batch_9
FUSCCTNBC389.TT,batch_9
FUSCCTNBC390.TT,batch_21
FUSCCTNBC390.TT,batch_21
FUSCCTNBC391.TT,batch_9
FUSCCTNBC391.TT,batch_9
FUSCCTNBC392.TT,batch_11
FUSCCTNBC392.TT,batch_11
FUSCCTNBC393.TT,batch_14
FUSCCTNBC393.TT,batch_14
FUSCCTNBC395.TT,batch_29
FUSCCTNBC395.TT,batch_29
FUSCCTNBC397.TT,batch_11
FUSCCTNBC397.TT,batch_11
FUSCCTNBC399.TT,batch_11
FUSCCTNBC399.TT,batch_11
FUSCCTNBC400.TT,batch_29
FUSCCTNBC400.TT,batch_29
FUSCCTNBC401.TT,batch_11
FUSCCTNBC401.TT,batch_11
FUSCCTNBC402.TT,batch_11
FUSCCTNBC402.TT,batch_11
FUSCCTNBC403.TT,batch_29
FUSCCTNBC403.TT,batch_29
FUSCCTNBC404.TT,batch_11
FUSCCTNBC404.TT,batch_11
FUSCCTNBC405.TT,batch_11
FUSCCTNBC405.TT,batch_11
FUSCCTNBC406.TT,batch_21
FUSCCTNBC406.TT,batch_21
FUSCCTNBC410.TT,batch_31
FUSCCTNBC410.TT,batch_31
FUSCCTNBC414.TT,batch_21
FUSCCTNBC414.TT,batch_21
FUSCCTNBC415.TT,batch_11
FUSCCTNBC415.TT,batch_11
FUSCCTNBC416.TT,batch_11
FUSCCTNBC416.TT,batch_11
FUSCCTNBC418.TT,batch_11
FUSCCTNBC418.TT,batch_11
FUSCCTNBC420.TT,batch_10
FUSCCTNBC420.TT,batch_10
FUSCCTNBC421.TT,batch_10
FUSCCTNBC421.TT,batch_10
FUSCCTNBC422.TT,batch_11
FUSCCTNBC422.TT,batch_11
FUSCCTNBC423.TT,batch_11
FUSCCTNBC423.TT,batch_11
FUSCCTNBC424.TT,batch_11
FUSCCTNBC424.TT,batch_11
FUSCCTNBC425.TT,batch_31
FUSCCTNBC425.TT,batch_31
FUSCCTNBC427.TT,batch_11
FUSCCTNBC427.TT,batch_11
FUSCCTNBC428.TT,batch_21
FUSCCTNBC428.TT,batch_21
FUSCCTNBC430.TT,batch_18
FUSCCTNBC430.TT,batch_18
FUSCCTNBC431.TT,batch_18
FUSCCTNBC431.TT,batch_18
FUSCCTNBC432.TT,batch_31
FUSCCTNBC432.TT,batch_31
FUSCCTNBC434.TT,batch_31
FUSCCTNBC434.TT,batch_31
FUSCCTNBC435.TT,batch_18
FUSCCTNBC435.TT,batch_18
FUSCCTNBC436.TT,batch_31
FUSCCTNBC436.TT,batch_31
FUSCCTNBC437.TT,batch_18
FUSCCTNBC437.TT,batch_18
FUSCCTNBC438.TT,batch_31
FUSCCTNBC438.TT,batch_31
FUSCCTNBC440.TT,batch_18
FUSCCTNBC440.TT,batch_18
FUSCCTNBC441.TT,batch_18
FUSCCTNBC441.TT,batch_18
FUSCCTNBC442.TT,batch_31
FUSCCTNBC442.TT,batch_31
FUSCCTNBC443.TT,batch_18
FUSCCTNBC443.TT,batch_18
FUSCCTNBC446.TT,batch_18
FUSCCTNBC446.TT,batch_18
FUSCCTNBC447.TT,batch_18
FUSCCTNBC447.TT,batch_18
FUSCCTNBC448.TT,batch_21
FUSCCTNBC448.TT,batch_21
FUSCCTNBC451.TT,batch_31
FUSCCTNBC451.TT,batch_31
FUSCCTNBC452.TT,batch_31
FUSCCTNBC452.TT,batch_31
FUSCCTNBC453.TT,batch_31
FUSCCTNBC453.TT,batch_31
FUSCCTNBC456.TT,batch_31
FUSCCTNBC456.TT,batch_31
FUSCCTNBC457.TT,batch_31
FUSCCTNBC457.TT,batch_31
FUSCCTNBC458.TT,batch_31
FUSCCTNBC458.TT,batch_31
FUSCCTNBC460.TT,batch_31
FUSCCTNBC460.TT,batch_31
FUSCCTNBC461.TT,batch_31
FUSCCTNBC461.TT,batch_31
FUSCCTNBC463.TT,batch_31
FUSCCTNBC463.TT,batch_31
FUSCCTNBC464.TT,batch_31
FUSCCTNBC464.TT,batch_31
FUSCCTNBC465.TT,batch_31
FUSCCTNBC465.TT,batch_31
FUSCCTNBC467.TT,batch_31
FUSCCTNBC467.TT,batch_31
FUSCCTNBC468.TT,batch_30
FUSCCTNBC468.TT,batch_30
FUSCCTNBC469.TT,batch_30
FUSCCTNBC469.TT,batch_30
FUSCCTNBC471.TT,batch_30
FUSCCTNBC471.TT,batch_30
FUSCCTNBC001.WBC,batch_18
FUSCCTNBC001.WBC,batch_18
FUSCCTNBC002.WBC,batch_18
FUSCCTNBC002.WBC,batch_18
FUSCCTNBC005.WBC,batch_18
FUSCCTNBC005.WBC,batch_18
FUSCCTNBC006.WBC,batch_22_2
FUSCCTNBC006.WBC,batch_22_2
FUSCCTNBC007.WBC,batch_18
FUSCCTNBC007.WBC,batch_18
FUSCCTNBC008.WBC,batch_12
FUSCCTNBC008.WBC,batch_12
FUSCCTNBC009.WBC,batch_18
FUSCCTNBC009.WBC,batch_18
FUSCCTNBC010.WBC,batch_18
FUSCCTNBC010.WBC,batch_18
FUSCCTNBC011.WBC,batch_18
FUSCCTNBC011.WBC,batch_18
FUSCCTNBC012.WBC,batch_18
FUSCCTNBC012.WBC,batch_18
FUSCCTNBC013.WBC,batch_28
FUSCCTNBC013.WBC,batch_28
FUSCCTNBC015.WBC,batch_18
FUSCCTNBC015.WBC,batch_18
FUSCCTNBC017.WBC,batch_18
FUSCCTNBC017.WBC,batch_18
FUSCCTNBC018.WBC,batch_18
FUSCCTNBC018.WBC,batch_18
FUSCCTNBC019.WBC,batch_18
FUSCCTNBC019.WBC,batch_18
FUSCCTNBC021.WBC,batch_5
FUSCCTNBC021.WBC,batch_5
FUSCCTNBC022.WBC,batch_5
FUSCCTNBC022.WBC,batch_5
FUSCCTNBC023.WBC,batch_28
FUSCCTNBC023.WBC,batch_28
FUSCCTNBC024.WBC,batch_5
FUSCCTNBC024.WBC,batch_5
FUSCCTNBC026.WBC,batch_22
FUSCCTNBC026.WBC,batch_22
FUSCCTNBC027.WBC,batch_22_2
FUSCCTNBC027.WBC,batch_22_2
FUSCCTNBC028.WBC,batch_14
FUSCCTNBC028.WBC,batch_14
FUSCCTNBC029.WBC,batch_28
FUSCCTNBC029.WBC,batch_28
FUSCCTNBC030.WBC,batch_2
FUSCCTNBC030.WBC,batch_2
FUSCCTNBC032.WBC,batch_12
FUSCCTNBC032.WBC,batch_12
FUSCCTNBC033.WBC,batch_5
FUSCCTNBC033.WBC,batch_5
FUSCCTNBC034.WBC,batch_14
FUSCCTNBC034.WBC,batch_14
FUSCCTNBC036.WBC,batch_19
FUSCCTNBC036.WBC,batch_19
